trial,condition,eccentricity,magnitude,correct,srt_ms,keyboard_rt_ms,pre_change_ms,valid
354,control,20.0,10,1,1711.961030960083,1711.9591236114502,953,1
355,control,21.0,4,0,1186.3412857055664,1186.3391399383545,1041,1
356,control,22.0,4,1,822.5188255310059,822.5159645080566,978,1
357,control,23.0,13,1,757.5130462646484,757.5111389160156,839,1
358,control,24.0,11,1,1119.7662353515625,1119.7621822357178,1372,1
359,control,25.0,11,1,928.6689758300781,928.6661148071289,1359,1
360,control,26.0,10,1,722.5050926208496,722.5000858306885,921,1
361,control,27.0,11,1,526.7882347106934,526.7813205718994,1040,1
362,control,28.0,24,1,558.1097602844238,558.107852935791,1133,1
1,quadbright,5.0,25,1,66.97702407836914,362.2739315032959,1254,1
2,quadbright,6.0,25,1,63.01307678222656,527.716875076294,1246,1
3,quadbright,7.0,25,1,66.44201278686523,527.3447036743164,1109,1
4,quadbright,8.0,25,1,66.84494018554688,527.0028114318848,931,1
5,quadbright,9.0,25,1,365.3707504272461,365.36383628845215,935,1
6,quadbright,10.0,25,1,520.7328796386719,520.7321643829346,1215,1
7,quadbright,11.0,25,1,466.42279624938965,466.418981552124,1457,1
8,quadbright,12.0,25,1,527.1091461181641,527.1060466766357,1017,1
9,quadbright,13.0,25,1,431.63394927978516,431.6296577453613,1190,1
10,quadbright,14.0,25,1,361.63973808288574,361.6368770599365,1125,1
11,quadbright,15.0,25,1,461.03930473327637,461.03715896606445,1217,1
12,quadbright,16.0,25,1,363.5110855102539,363.5091781616211,985,1
13,quadbright,17.0,25,1,528.1839370727539,528.1782150268555,1091,1
14,quadbright,18.0,25,1,531.1319828033447,531.1229228973389,1196,1
15,quadbright,19.0,25,1,525.1381397247314,525.1350402832031,1147,1
16,quadbright,20.0,25,1,535.0520610809326,535.0489616394043,1459,1
17,quadbright,21.0,25,1,526.453971862793,526.4511108398438,1486,1
18,quadbright,22.0,25,1,524.5389938354492,524.5370864868164,1388,1
19,quadbright,23.0,25,1,525.2141952514648,525.2110958099365,1258,1
20,quadbright,24.0,25,1,462.48602867126465,462.48316764831543,1086,1
21,quadbright,25.0,25,1,528.5651683807373,528.562068939209,805,1
22,quadbright,26.0,25,1,753.3466815948486,753.3457279205322,941,1
23,quadbright,27.0,25,0,1217.4012660980225,1217.400074005127,1479,1
24,quadbright,28.0,25,1,758.1048011779785,758.1009864807129,1247,1
25,quadbright,5.0,25,1,65.52982330322266,527.3969173431396,883,1
26,quadbright,6.0,25,1,66.08009338378906,460.93201637268066,1070,1
27,quadbright,7.0,25,1,64.81695175170898,428.32064628601074,1260,1
28,quadbright,8.0,25,1,462.1732234954834,462.1710777282715,1074,1
29,quadbright,9.0,25,1,164.40796852111816,528.9969444274902,1067,1
30,quadbright,10.0,25,1,428.5280704498291,428.5268783569336,1194,1
31,quadbright,11.0,25,1,526.8881320953369,526.8852710723877,1261,1
32,quadbright,12.0,25,1,361.9236946105957,361.9189262390137,809,1
33,quadbright,13.0,25,1,360.86225509643555,360.8591556549072,1031,1
34,quadbright,14.0,25,1,460.4799747467041,460.4778289794922,1404,1
35,quadbright,15.0,25,1,595.3769683837891,595.3748226165771,835,1
36,quadbright,16.0,25,1,428.386926651001,428.38382720947266,1277,1
37,quadbright,17.0,25,1,460.01625061035156,460.01410484313965,1341,1
38,quadbright,18.0,25,1,466.0780429840088,466.07494354248047,1479,1
39,quadbright,19.0,25,1,461.0869884490967,461.08412742614746,1367,1
